# Created on 2026-03-12 15:33:08.204556+01:00 (1773325988.204556 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 27.500, 513
5, 27.526, 508
4, 27.551, 516
5, 27.576, 508
4, 27.601, 518
5, 27.627, 507
4, 27.653, 521
5, 27.677, 507
4, 27.703, 522
5, 27.728, 507
4, 27.754, 522
5, 27.778, 508
4, 27.804, 520
5, 27.830, 507
4, 27.855, 518
5, 27.880, 508
4, 27.905, 516
5, 27.931, 508
4, 27.957, 513
5, 27.981, 507
4, 28.007, 508
5, 28.032, 507
4, 28.058, 504
5, 28.083, 506
4, 28.108, 500
5, 28.134, 507
4, 28.159, 495
5, 28.184, 508
4, 28.210, 492
5, 28.235, 507
4, 28.261, 489
5, 28.285, 508
4, 28.311, 486
5, 28.337, 507
4, 28.362, 485
5, 28.387, 507
4, 28.412, 484
5, 28.438, 508
4, 28.464, 484
5, 28.488, 507
4, 28.514, 485
5, 28.539, 507
4, 28.565, 487
5, 28.589, 507
4, 28.615, 490
5, 28.641, 507
4, 28.666, 494
5, 28.691, 507
4, 28.716, 497
5, 28.742, 507
4, 28.768, 501
5, 28.792, 507
4, 28.818, 505
5, 28.843, 507
4, 28.869, 509
5, 28.894, 508
4, 28.919, 513
5, 28.945, 508
4, 28.970, 516
5, 28.995, 508
4, 29.021, 518
5, 29.046, 508
4, 29.072, 520
5, 29.096, 508
4, 29.122, 521
5, 29.148, 508
4, 29.173, 520
5, 29.198, 508
4, 29.223, 519
5, 29.249, 508
4, 29.275, 516
5, 29.299, 508
4, 29.325, 514
5, 29.350, 508
4, 29.376, 510
5, 29.400, 508
4, 29.426, 506
5, 29.452, 507
4, 29.477, 503
5, 29.503, 508
4, 29.527, 499
5, 29.553, 508
4, 29.579, 495
5, 29.604, 508
4, 29.629, 491
5, 29.654, 508
4, 29.680, 489
5, 29.706, 508
4, 29.730, 486
5, 29.756, 508
4, 29.781, 485
5, 29.807, 508
4, 29.832, 484
5, 29.857, 508
4, 29.883, 485
5, 29.908, 508
4, 29.933, 486
5, 29.959, 508
4, 29.984, 488
5, 30.010, 508
