# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 17.235, 577
4, 17.260, 461
5, 17.286, 569
4, 17.311, 450
5, 17.336, 560
4, 17.362, 439
5, 17.387, 552
4, 17.413, 428
5, 17.437, 542
4, 17.463, 417
5, 17.489, 534
4, 17.514, 407
5, 17.539, 526
4, 17.564, 399
5, 17.590, 519
4, 17.616, 392
5, 17.640, 514
4, 17.666, 387
5, 17.691, 511
4, 17.717, 386
5, 17.742, 510
4, 17.767, 386
5, 17.793, 511
4, 17.818, 389
5, 17.844, 514
4, 17.869, 394
5, 17.894, 518
4, 17.920, 402
5, 17.945, 525
4, 17.970, 411
5, 17.995, 533
4, 18.021, 422
5, 18.047, 541
4, 18.071, 432
5, 18.097, 550
4, 18.122, 443
5, 18.148, 559
4, 18.173, 454
5, 18.198, 567
4, 18.224, 464
5, 18.249, 576
4, 18.274, 472
5, 18.300, 581
4, 18.325, 478
5, 18.351, 586
4, 18.375, 482
5, 18.401, 590
4, 18.427, 484
5, 18.452, 591
4, 18.477, 483
5, 18.502, 589
4, 18.528, 480
5, 18.554, 587
4, 18.578, 474
5, 18.604, 582
4, 18.629, 467
5, 18.655, 576
4, 18.680, 457
5, 18.705, 568
4, 18.731, 448
5, 18.756, 560
4, 18.781, 437
5, 18.806, 551
4, 18.832, 426
5, 18.858, 542
4, 18.882, 415
5, 18.908, 534
4, 18.933, 406
5, 18.959, 526
4, 18.984, 398
5, 19.009, 520
4, 19.035, 392
5, 19.060, 515
4, 19.085, 389
5, 19.111, 512
4, 19.136, 387
5, 19.162, 511
4, 19.186, 388
5, 19.212, 512
4, 19.238, 391
5, 19.263, 515
4, 19.288, 397
5, 19.313, 520
4, 19.339, 405
5, 19.365, 526
4, 19.389, 414
5, 19.415, 533
4, 19.440, 424
5, 19.466, 541
4, 19.491, 435
5, 19.516, 551
4, 19.542, 445
5, 19.567, 559
4, 19.592, 455
5, 19.618, 568
4, 19.643, 465
5, 19.669, 575
4, 19.693, 473
5, 19.719, 581
4, 19.744, 478
5, 19.770, 587
4, 19.795, 481
5, 19.820, 589
4, 19.846, 483
5, 19.871, 590
4, 19.896, 481
5, 19.922, 589
4, 19.947, 478
5, 19.973, 586
4, 19.997, 472
5, 20.023, 582
4, 20.049, 464
5, 20.074, 575
4, 20.099, 455
5, 20.124, 568
4, 20.150, 445
5, 20.176, 559
4, 20.200, 434
5, 20.226, 551
4, 20.251, 424
5, 20.277, 541
4, 20.302, 415
5, 20.327, 533
4, 20.353, 406
5, 20.378, 526
4, 20.403, 398
5, 20.429, 520
4, 20.454, 393
5, 20.480, 515
4, 20.504, 389
5, 20.530, 512
4, 20.555, 389
5, 20.581, 511
4, 20.606, 391
5, 20.631, 512
4, 20.657, 394
5, 20.682, 515
4, 20.707, 400
5, 20.733, 520
4, 20.758, 408
5, 20.784, 526
4, 20.808, 417
5, 20.834, 534
4, 20.860, 427
5, 20.885, 542
4, 20.910, 437
5, 20.935, 551
4, 20.961, 447
5, 20.987, 560
4, 21.011, 457
5, 21.037, 568
4, 21.062, 465
5, 21.088, 576
4, 21.113, 472
5, 21.138, 581
4, 21.164, 477
5, 21.189, 587
4, 21.214, 480
5, 21.240, 589
4, 21.265, 481
5, 21.291, 590
4, 21.315, 479
5, 21.341, 589
4, 21.366, 475
5, 21.392, 585
4, 21.417, 470
5, 21.442, 581
4, 21.468, 462
5, 21.493, 575
4, 21.518, 453
5, 21.544, 568
4, 21.569, 443
5, 21.595, 558
4, 21.619, 433
5, 21.645, 550
4, 21.671, 423
5, 21.696, 542
4, 21.721, 413
5, 21.746, 533
4, 21.772, 405
5, 21.798, 526
4, 21.822, 400
5, 21.848, 519
4, 21.873, 394
5, 21.899, 515
4, 21.924, 392
5, 21.949, 512
4, 21.975, 391
5, 22.000, 511
4, 22.025, 393
5, 22.051, 512
4, 22.076, 397
5, 22.102, 516
4, 22.126, 404
5, 22.152, 521
4, 22.178, 411
5, 22.203, 527
4, 22.228, 420
5, 22.253, 535
4, 22.279, 429
5, 22.304, 543
4, 22.329, 439
5, 22.355, 552
4, 22.380, 448
5, 22.406, 561
4, 22.430, 458
5, 22.456, 570
4, 22.482, 466
5, 22.507, 576
4, 22.532, 472
5, 22.557, 582
4, 22.583, 476
5, 22.609, 587
4, 22.633, 479
5, 22.659, 589
4, 22.684, 479
5, 22.710, 590
4, 22.735, 476
5, 22.760, 588
4, 22.786, 473
5, 22.811, 586
4, 22.836, 467
5, 22.862, 580
4, 22.887, 460
5, 22.913, 574
4, 22.937, 451
5, 22.963, 566
4, 22.989, 441
5, 23.014, 558
