# Created on 2026-03-12 16:04:06.822553+01:00 (1773327846.822553 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 17.718, 473
5, 17.743, 392
4, 17.768, 466
5, 17.794, 411
4, 17.819, 460
5, 17.845, 437
4, 17.869, 455
5, 17.895, 468
4, 17.920, 453
5, 17.946, 501
4, 17.971, 451
5, 17.996, 538
4, 18.022, 452
5, 18.047, 573
4, 18.073, 454
5, 18.098, 607
4, 18.123, 458
5, 18.149, 638
4, 18.174, 464
5, 18.199, 663
4, 18.225, 472
5, 18.250, 680
4, 18.276, 480
5, 18.300, 689
4, 18.326, 489
5, 18.352, 691
4, 18.377, 499
5, 18.402, 686
4, 18.427, 508
5, 18.453, 672
4, 18.479, 517
5, 18.503, 651
4, 18.529, 524
5, 18.554, 625
4, 18.580, 529
5, 18.605, 594
4, 18.630, 532
5, 18.656, 559
4, 18.681, 534
5, 18.706, 524
4, 18.731, 532
5, 18.757, 490
4, 18.783, 528
5, 18.807, 458
4, 18.833, 522
5, 18.858, 430
4, 18.884, 513
5, 18.909, 408
4, 18.934, 503
5, 18.960, 393
4, 18.985, 492
5, 19.010, 387
4, 19.036, 480
5, 19.061, 387
4, 19.087, 468
5, 19.111, 396
4, 19.137, 456
5, 19.163, 412
4, 19.188, 446
5, 19.213, 435
4, 19.238, 438
5, 19.264, 464
4, 19.290, 432
5, 19.314, 495
4, 19.340, 429
5, 19.365, 529
4, 19.391, 429
5, 19.416, 563
4, 19.441, 432
5, 19.467, 596
4, 19.492, 438
5, 19.517, 625
4, 19.542, 447
5, 19.568, 650
4, 19.594, 457
5, 19.618, 670
4, 19.644, 470
5, 19.669, 680
4, 19.695, 484
5, 19.720, 682
4, 19.745, 499
5, 19.771, 680
4, 19.796, 513
5, 19.821, 668
4, 19.847, 527
5, 19.872, 650
4, 19.898, 537
5, 19.922, 627
4, 19.948, 546
5, 19.974, 598
4, 19.999, 552
5, 20.024, 566
4, 20.049, 555
5, 20.075, 534
4, 20.101, 554
5, 20.125, 501
4, 20.151, 549
5, 20.176, 470
4, 20.202, 541
5, 20.227, 443
4, 20.252, 530
5, 20.278, 421
4, 20.303, 516
5, 20.328, 405
4, 20.354, 500
5, 20.379, 398
4, 20.405, 484
5, 20.429, 397
4, 20.455, 467
5, 20.480, 403
4, 20.506, 450
5, 20.531, 417
4, 20.556, 436
5, 20.582, 436
4, 20.607, 424
5, 20.632, 461
4, 20.658, 415
5, 20.683, 490
4, 20.709, 410
5, 20.733, 521
4, 20.759, 408
5, 20.785, 552
4, 20.810, 411
5, 20.835, 584
4, 20.860, 417
5, 20.886, 612
