# Created on 2026-03-12 15:44:28.043422+01:00 (1773326668.043422 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 20.707, 506
5, 20.733, 515
4, 20.757, 506
5, 20.783, 510
4, 20.808, 506
5, 20.834, 503
4, 20.859, 506
5, 20.884, 497
4, 20.910, 506
5, 20.935, 491
4, 20.960, 506
5, 20.986, 487
4, 21.011, 506
5, 21.037, 482
4, 21.061, 506
5, 21.087, 480
4, 21.113, 506
5, 21.138, 479
4, 21.163, 506
5, 21.188, 478
4, 21.214, 506
5, 21.240, 480
4, 21.264, 505
5, 21.290, 483
4, 21.315, 506
5, 21.341, 486
4, 21.366, 506
5, 21.391, 491
4, 21.417, 506
5, 21.442, 496
4, 21.467, 506
5, 21.492, 503
4, 21.518, 506
5, 21.544, 509
4, 21.568, 506
5, 21.594, 515
4, 21.619, 506
5, 21.645, 520
4, 21.670, 506
5, 21.695, 526
4, 21.721, 506
5, 21.746, 529
4, 21.771, 506
5, 21.797, 531
4, 21.822, 506
5, 21.848, 533
4, 21.872, 506
5, 21.898, 533
4, 21.924, 506
5, 21.949, 532
4, 21.974, 506
5, 21.999, 529
4, 22.025, 506
5, 22.051, 525
4, 22.075, 506
5, 22.101, 520
4, 22.126, 506
5, 22.152, 515
4, 22.177, 506
5, 22.202, 509
4, 22.228, 505
5, 22.253, 504
4, 22.278, 505
5, 22.303, 497
4, 22.329, 505
5, 22.355, 492
4, 22.379, 505
5, 22.405, 487
4, 22.430, 506
5, 22.456, 484
4, 22.481, 506
5, 22.506, 481
4, 22.532, 505
5, 22.557, 481
4, 22.582, 505
5, 22.608, 481
4, 22.633, 506
5, 22.659, 482
4, 22.683, 506
5, 22.709, 484
4, 22.735, 506
5, 22.760, 487
4, 22.785, 506
5, 22.810, 492
4, 22.836, 506
5, 22.862, 498
4, 22.886, 506
5, 22.912, 503
4, 22.937, 506
5, 22.963, 510
4, 22.988, 505
5, 23.013, 515
4, 23.039, 506
5, 23.064, 520
4, 23.089, 506
5, 23.115, 524
4, 23.140, 506
5, 23.166, 527
4, 23.190, 506
5, 23.216, 530
4, 23.241, 506
5, 23.267, 531
4, 23.292, 506
5, 23.317, 531
4, 23.343, 506
5, 23.368, 530
4, 23.394, 506
5, 23.419, 527
4, 23.444, 507
5, 23.470, 523
4, 23.495, 506
5, 23.520, 519
4, 23.546, 506
5, 23.571, 514
4, 23.597, 505
5, 23.621, 509
4, 23.647, 506
5, 23.673, 503
